Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_Mean,CV_Std,Training_Time
Logistic Regression,0.8220108695652174,0.8206521739130435,0.822429906542056,0.8627450980392157,0.8421052631578947,0.8871353419416548,0.8165103879389595,0.03386450327865538,0.015816
Decision Tree,1.0,0.717391304347826,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.7140124342419895,0.7119691119691118,0.05020383802413405,0.002514
Random Forest,1.0,0.8043478260869565,0.8,0.8627450980392157,0.8301886792452831,0.9015423242467718,0.7975455046883618,0.02637214655608558,0.097828
SVM,0.8301630434782609,0.8043478260869565,0.8,0.8627450980392157,0.8301886792452831,0.8945480631276901,0.8070601213458357,0.02876191528307951,0.032053
